source_attribute_id,target_attribute_name
ca.pcpartpicker.com//builtin speakers,has_speakers
www.best-deal-items.com//builtin speakers,has_speakers
www.best-deal-items.com//dvi,has_dvi_port
www.best-deal-items.com//network rj45,has_ethernet_port
www.best-deal-items.com//vga,has_vga_port
www.cleverboxes.com//dvi,has_dvi_port
www.cleverboxes.com//hdmi,has_hdmi_port
www.cleverboxes.com//speakers,has_speakers
www.cleverboxes.com//vga,has_vga_port
www.ebay.com//bluetooth,bluetooth
www.ebay.com//built in speakers,has_speakers
www.ebay.com//dvi,has_dvi_port
www.ebay.com//dvid,has_dvid_port
www.ebay.com//dvid input,has_dvid_port
www.ebay.com//dvid with hdcp input,has_dvid_port
www.ebay.com//hdmi input,has_hdmi_port
www.ebay.com//headphone,has_headphone_port
www.ebay.com//microphone,has_microphone
www.ebay.com//usb hub,has_usb_port
www.ebay.com//vga input,has_vga_port
www.getprice.com.au//speakers,has_speakers
www.hardware-planet.it//altoparlante  cuffia  spinotto di uscita,has_speakers_output
www.hardware-planet.it//altoparlanti incorporati,has_speakers
www.hardware-planet.it//bluetooth,bluetooth
www.hardware-planet.it//collegamento ethernet lan,has_ethernet_port
www.hardware-planet.it//full hd,has_full_hd
www.hardware-planet.it//hdmi,has_hdmi_port
www.hardware-planet.it//microfono incorporato,has_microphone
www.hardware-planet.it//microfono spinotto dingresso,has_microphone_input
www.hardware-planet.it//porta dvi,has_dvi_port
www.hardware-planet.it//subwoofer incorporato,has_subwoofer
www.imldirect.it//displayport,has_displayport
www.imldirect.it//dvi,has_dvi_port
www.imldirect.it//hdmi,has_hdmi_port
www.imldirect.it//headphone,has_headphone_port
www.imldirect.it//network rj45,has_ethernet_port
www.imldirect.it//speakers,has_speakers
www.imldirect.it//usb,has_usb_port
www.imldirect.it//vga,has_vga_port
www.itenergy.co.uk//displayport,has_displayport
www.itenergy.co.uk//dvi,has_dvi_port
www.itenergy.co.uk//hdmi,has_hdmi_port
www.itenergy.co.uk//headphone,has_headphone_port
www.itenergy.co.uk//network rj45,has_ethernet_port
www.itenergy.co.uk//speakers,has_speakers
www.itenergy.co.uk//usb,has_usb_port
